urn of en allw scholion	scholion text after en allw	urn of iliad line for that scholion	text of corresponding Iliad line in VenA	text of a similar Iliad line in OCT	words that intersect between two lines	urn of OCT line
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	καὶ μάλα περ θυμῷ κεχολωμένον ὧς γὰρ ἄμεινον	καὶ, γὰρ, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:1.217
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	ἠερίη γὰρ σοί γε παρέζετο καὶ λάβε γούνων	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:1.557
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	καὶ γὰρ ἐγὼ θεός εἰμι γένος δέ μοι ἔνθεν ὅθεν σοί	καὶ, γὰρ, ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.omar:4.58
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	εὖ γὰρ ἐγὼ τόδε οἶδα κατὰ φρένα καὶ κατὰ θυμόν	καὶ, γὰρ, ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.omar:4.163
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	σοὶ δ' ἐγὼ ἐνθάδε φημὶ φόνον καὶ κῆρα μέλαιναν	καὶ, ἐγὼ, σοὶ	urn:cts:greekLit:tlg0012.tlg001.omar:5.652
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	κτεῖναι μέν ῥ' ἀλέεινε σεβάσσατο γὰρ τό γε θυμῷ	γὰρ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:6.167
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	οὐδέ μιν ἐξενάριξε σεβάσσατο γὰρ τό γε θυμῷ	γὰρ, γε, θυμῷ	urn:cts:greekLit:tlg0012.tlg001.omar:6.417
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	εὖ γὰρ ἐγὼ τόδε οἶδα κατὰ φρένα καὶ κατὰ θυμόν	καὶ, γὰρ, ἐγὼ	urn:cts:greekLit:tlg0012.tlg001.omar:6.447
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	σοὶ δ' ἐγὼ ἐξερέω ὡς καὶ τετελεσμένον ἔσται	καὶ, ἐγὼ, σοὶ	urn:cts:greekLit:tlg0012.tlg001.omar:8.286
urn:cts:greekLit:tlg5026.msA.hmt:4.792	ἀέκοντί γε θυμῷ βιαζόμενος ὥσπερ οἱ πλεόντες ἑκόντες μὲν ἀποβάλλουσι τὰ φορτία ἵνα σωθῶσιν ἄκοντες δὲ ζημιοῦνται	urn:cts:greekLit:tlg0012.tlg001.msA:4.43	καὶ γὰρ ἐγὼ σοὶ δῶκα ἑκὼν ἀέκοντί γε θυμῷ	ἀλλ' ὅ γε καὶ τόθ' ἅμαρτε παρέσφηλεν γὰρ ̓Απόλλων	καὶ, γὰρ, γε	urn:cts:greekLit:tlg0012.tlg001.omar:8.311
