urn:cts:greekLit:tlg5026.msAil.hmt:14.F1	έοικεν	urn:cts:greekLit:tlg0012.tlg001.msA:14.474	ἠ παῖς· αὐτῷ γὰρ γενεὴν ἄγχιστα ἐῴκει·
urn:cts:greekLit:tlg5026.msAim.hmt:4.878	ἀκόντισε δουρὶ φαεινῷ 	urn:cts:greekLit:tlg0012.tlg001.msA:4.490	Πριαμίδης καθ᾽ ὅμῑλον ἀκόντισεν , ὀξέϊ δουρί·
urn:cts:greekLit:tlg5026.msAim.hmt:5.6094	υἱὸς μὲν ἀμύμονος Ἀγχίσαο 	urn:cts:greekLit:tlg0012.tlg001.msA:5.247	Αἰνείας δ' υἱὸς μὲν ἀμύμονος Ἀγχίσᾱο
urn:cts:greekLit:tlg5026.msAim.hmt:6.235	πάρ αιδοίης ἀλόχοισι 	urn:cts:greekLit:tlg0012.tlg001.msA:6.246	κοιμῶντο Πριάμοιο , παρὰ μνηστῇς ἀλόχοισι :
urn:cts:greekLit:tlg5026.msAim.hmt:7.2014	οὗτοι γὰρ 	urn:cts:greekLit:tlg0012.tlg001.msA:7.285	αὐτὸς γὰρ χάρμῃ προκαλέσσατο πάντας ἀρίστους .
urn:cts:greekLit:tlg5026.msAim.hmt:8.72	δέος ᾕρει 	urn:cts:greekLit:tlg0012.tlg001.msA:8.77	θάμβησαν , καὶ πάντας ὑπο χλωρὸν δέος εἷλεν·
urn:cts:greekLit:tlg5026.msAim.hmt:8.172	εὐχετάασθε 	urn:cts:greekLit:tlg0012.tlg001.msA:8.230	ἃς ὁπότ' ἐν Λήμνῳ κενεαυχέες ἠγοράασθε .
urn:cts:greekLit:tlg5026.msAim.hmt:9.448	ἐν αιθούσσῃ	urn:cts:greekLit:tlg0012.tlg001.msA:9.472	πῦρ . ἕτερον μὲν ὑπαιθούσῃ εὐερκέος αὐλῆς ,
urn:cts:greekLit:tlg5026.msAim.hmt:9.478	λοίβης τε κνίσης τε 	urn:cts:greekLit:tlg0012.tlg001.msA:9.500	λοιβῇ τε , κνίσῃ τε . παρατρωπῶσ᾽ ἄνθρωποι
urn:cts:greekLit:tlg5026.msAim.hmt:11.13	ὅν ποτ' Ἀχιλλεύς 	urn:cts:greekLit:tlg0012.tlg001.msA:11.104	Ἄντιφος αὖ παρέβασκε περικλυτὸς , ὥ ποτ' Ἀχιλλεὺς
urn:cts:greekLit:tlg5026.msAim.hmt:11.88	χωρὶς λέγοντες 	urn:cts:greekLit:tlg0012.tlg001.msA:11.755	κτείνοντές τ' αὐτοὺς . ἀνά τ' ἔντεα καλὰ λέγοντες·
urn:cts:greekLit:tlg5026.msAim.hmt:11.89	καλλιγύναικα  	urn:cts:greekLit:tlg0012.tlg001.msA:11.770	λαὸν ἀγείροντες κατ' Ἀχαιΐδα πουλυβότειραν·
